Donor,CAR,EffectorTargetRatio,MFI_FSC-A,MFI_SSC-A,MFI_CD5,MFI_CD39,MFI_CD27,MFI_CTLA-4(CD152),MFI_CD4,MFI_CCR5,MFI_CD49d,MFI_CD134,MFI_CD25,MFI_CD197,MFI_CD183,MFI_CD44,MFI_CD69,MFI_CCR4,MFI_CD11a,MFI_CD3,MFI_CD45RO,MFI_PD-1,MFI_CD28,MFI_CD278,MFI_TIM-3,MFI_CD7,MFI_CD137,MFI_CD45RA,MFI_CD45,MFI_CD95,MFI_LAG3,MFI_CD161,MFI_HLA-DR,MFI_CD2,MFI_CD8
A,22_28z,1,385.24849963216786,185.86134665272778,615.6256630657839,358.37302048244084,319.96097107678014,329.68134123204396,455.40988113214854,411.6505207728346,513.4110039880745,250.76934990513803,587.76602005653,300.7782940333759,388.74003949355324,644.0397258682774,250.75591435319626,323.7292755643319,681.8047005072211,577.945405970496,630.8826809153212,358.0667131296705,513.8814419018856,580.9182251132536,434.02737445309174,471.21369109846285,258.6478491501142,297.5865567042243,496.0918031517404,693.688581716808,596.5212761838386,214.19382816432415,586.7390715143067,535.3124637007783,498.6708870561815
A,22_28z,2,312.4753770542592,154.24159637239302,618.3078114658292,321.62422723240064,401.9313909112673,308.446128064666,451.03182605511824,367.89038318007067,528.9552182056301,275.9398966357325,508.16112996577993,323.1696356902452,403.4518454887271,596.4699131120531,250.17714156961597,348.30062947993974,650.8423483685626,605.2649871146724,621.1397529960147,345.5466336201434,559.1386264099929,580.7166917801468,389.8706679246877,472.9124783484249,254.39523454112742,300.4467476869781,483.16834011632,686.8580783258932,476.88865105406205,223.19718071848024,572.35443804481,464.5284674205405,487.69287856810917
A,22_BBz,0.2,390.57682369310277,215.9781355595309,607.0526734247665,388.2377260981912,299.85489962234146,397.8521168753727,509.63764659113497,571.4847942754919,538.4726694494136,232.8056052474657,632.4176108129597,343.472470681773,430.62711190618165,692.3299542834427,274.1017690320016,295.74796263168355,693.3500298151461,565.9439475253429,624.0105346849533,402.83104750546613,526.2633671238323,606.3325382627709,503.0826873385013,453.6881335718545,276.3430729477241,431.1115086463924,511.8221029616378,685.387994434506,705.8477439872788,253.3563903796462,584.2852315643013,571.0808984297356,508.98966408268734
A,22_BBz,0.5,411.4899393165123,230.50431172149473,600.5129351644841,362.15075055892686,288.4009900990099,369.116256786969,488.7274033854998,506.98450974129673,517.6296710316193,204.21143404663047,638.9175982114341,310.82337911210476,420.17662088789524,687.8259342063238,249.43947620568508,286.063078888534,698.5808048546791,552.6670392845737,633.5477483232194,390.4319706164165,515.2087192590227,606.291440434366,472.0740977323539,447.5121366975407,275.7353880549345,395.96071542638134,490.728361545832,701.5534972852124,701.4642286809326,249.1426061961035,559.4450654742893,575.9762056850847,521.023474928138
A,22_BBz,1,382.9984624721829,186.32903095286264,617.7264009710702,359.00740441027716,330.7505968035606,335.5129678332996,455.74893789196847,419.5773012340684,505.17204127048353,241.39518511025693,587.0993323892374,303.23698159012747,395.129071414121,643.1594173578799,251.6489581225976,315.00784948411894,685.0529637871738,574.5064131094477,631.8756625531054,363.19437588509004,515.609144244386,582.5156787376087,434.61772203115515,476.48767954683393,260.2716164272709,306.44462876795467,496.41582035201293,689.9002225369209,602.4117337649201,216.71462674489177,584.258385595792,536.2833097309326,510.7730123406838
A,22_BBz,2,313.53089570843474,151.51997388259036,608.8944975366534,315.277687422093,405.3832611147385,304.31211491660235,437.0160265922716,360.3244257137769,515.4689618329672,281.67468391998574,495.3351219801745,321.4682614115273,397.9026889060367,577.1916424289191,251.85318454324212,335.4816643912863,635.4588354009616,592.436421914881,608.0981658455512,341.9802338695317,543.6694485665104,560.3534160384638,390.29531667359174,465.6868641301122,255.1814328960646,293.92203953226095,476.4577907045765,665.4746957915356,464.32644387724815,218.98304742684158,566.1174927286758,466.79328070279576,490.9370095565976
A,33_28z,0.2,419.35498285994123,258.50618266405485,605.7684255631733,425.2954823702253,299.53085210577865,395.0847820763957,542.8493511263467,569.131917238002,519.0265670910871,239.27754652301664,627.4214618021548,331.32345739471106,407.85767629774733,662.3105411361411,299.3459231145935,291.0576028403526,675.7894833496572,568.0840475024486,603.9526199804113,428.2727105778648,493.29321743388834,612.4594760039178,502.5689887365328,489.59096474045054,280.09653525954946,407.1931317335945,474.5978207639569,662.4985308521058,713.3885284035259,251.43701028403527,599.6475269343781,565.4033423114594,443.0173849167483
A,33_28z,0.5,408.41496824222634,233.53776496696682,597.7310920082647,389.39244445578146,284.4959824503227,347.74037701196335,543.3670382368696,470.12863811443003,494.5299849501314,231.23021197357346,644.2301609570696,294.1475907456062,403.85207764711885,650.0227023442084,258.31719511261895,252.456903808382,687.5578909777313,566.6338545519476,632.5377394587149,386.33596918603166,505.20302017702727,620.4237940973906,519.025023595133,523.0490523684412,266.0553273984134,375.499375047828,444.8828916154376,689.6347983572686,697.7798127694309,280.0755809504375,506.35293217355814,501.95796240083666,438.878631737367
A,33_28z,1,376.8634312037597,182.53073379554232,602.4317621329859,365.22195337583173,309.1248429575171,327.621609045647,526.8949094969987,403.90319203387463,495.27848866967565,237.42941231213067,603.5233353496812,297.345888976781,379.0118886975943,618.4101251686752,255.03820203806245,291.72053417709736,671.7287236517612,578.5260806849379,625.4865757759062,371.2471499697548,498.49399748732026,593.4522823507515,473.8191801219115,522.77143920711,271.12512214415335,295.80184728490997,462.52670885486947,672.0080033502396,618.743125029082,237.1657205341771,527.388930249872,486.43118049416034,418.1727467311898
A,33_28z,2,338.0640951356124,171.3862538973043,601.5977706039787,344.363711613277,336.5713103219932,317.40134646690393,529.4537152001766,384.59236266313496,494.41205198245177,245.8503159230748,566.5949010843473,308.9071820765389,377.0932317964848,591.3158403001959,256.93209723256905,314.47071158568554,661.7329415335375,585.8860745523274,634.0458847225672,378.54796788345334,523.0909416990867,583.8714510388213,476.6752752255608,521.4150870512926,270.7515658196065,309.4679248406589,459.9078994564468,670.3025687719008,590.9997792677207,238.24677868829843,515.0683994150595,446.68037965952044,412.974367464062
